# nhpx, l , b
386, 176.7776, -48.6789
387, 176.7790, -48.6645
388, 176.8021, -48.6487
389, 176.8035, -48.6344
390, 176.7804, -48.6502
391, 176.7818, -48.6358
392, 176.7559, -48.6803
393, 176.7573, -48.6659
394, 176.7341, -48.6817
395, 176.7356, -48.6673
396, 176.7587, -48.6516
397, 176.7601, -48.6372
398, 176.7370, -48.6530
399, 176.7384, -48.6386
400, 176.8050, -48.6200
401, 176.8064, -48.6056
402, 176.7833, -48.6214
403, 176.7847, -48.6070
404, 176.8078, -48.5912
405, 176.8092, -48.5768
406, 176.7861, -48.5926
407, 176.7875, -48.5783
408, 176.7616, -48.6228
409, 176.7630, -48.6084
410, 176.7399, -48.6242
411, 176.7413, -48.6098
412, 176.7644, -48.5940
413, 176.7658, -48.5797
414, 176.7427, -48.5954
415, 176.7442, -48.5811
416, 176.7124, -48.6831
417, 176.7139, -48.6687
418, 176.6907, -48.6845
419, 176.6921, -48.6701
420, 176.7153, -48.6544
421, 176.7167, -48.6400
422, 176.6936, -48.6558
423, 176.6950, -48.6414
424, 176.6690, -48.6859
425, 176.6704, -48.6715
426, 176.6472, -48.6873
427, 176.6487, -48.6729
428, 176.6719, -48.6572
429, 176.6733, -48.6428
430, 176.6502, -48.6585
431, 176.6516, -48.6442
432, 176.7182, -48.6256
433, 176.7196, -48.6112
434, 176.6965, -48.6270
435, 176.6979, -48.6126
436, 176.7210, -48.5968
437, 176.7225, -48.5825
438, 176.6994, -48.5982
439, 176.7008, -48.5839
440, 176.6748, -48.6284
441, 176.6762, -48.6140
442, 176.6531, -48.6298
443, 176.6545, -48.6154
444, 176.6777, -48.5996
445, 176.6791, -48.5853
446, 176.6560, -48.6010
447, 176.6574, -48.5866
448, 176.8106, -48.5625
449, 176.8120, -48.5481
450, 176.7889, -48.5639
451, 176.7903, -48.5495
452, 176.8134, -48.5337
453, 176.8148, -48.5193
454, 176.7918, -48.5351
455, 176.7932, -48.5207
456, 176.7673, -48.5653
457, 176.7687, -48.5509
458, 176.7456, -48.5667
459, 176.7470, -48.5523
460, 176.7701, -48.5365
461, 176.7715, -48.5221
462, 176.7484, -48.5379
463, 176.7499, -48.5236
464, 176.8162, -48.5049
465, 176.8176, -48.4906
466, 176.7946, -48.5064
467, 176.7960, -48.4920
468, 176.8190, -48.4762
469, 176.8204, -48.4618
470, 176.7974, -48.4776
471, 176.7988, -48.4632
472, 176.7729, -48.5078
473, 176.7744, -48.4934
474, 176.7513, -48.5092
475, 176.7527, -48.4948
476, 176.7758, -48.4790
477, 176.7772, -48.4646
478, 176.7541, -48.4804
479, 176.7556, -48.4660
480, 176.7239, -48.5681
481, 176.7253, -48.5537
482, 176.7022, -48.5695
483, 176.7037, -48.5551
484, 176.7268, -48.5393
485, 176.7282, -48.5250
486, 176.7051, -48.5407
487, 176.7066, -48.5264
488, 176.6806, -48.5709
489, 176.6820, -48.5565
490, 176.6589, -48.5723
491, 176.6603, -48.5579
492, 176.6835, -48.5421
493, 176.6849, -48.5277
494, 176.6618, -48.5435
495, 176.6632, -48.5291
496, 176.7296, -48.5106
497, 176.7311, -48.4962
498, 176.7080, -48.5120
499, 176.7094, -48.4976
500, 176.7325, -48.4818
501, 176.7339, -48.4674
502, 176.7109, -48.4832
503, 176.7123, -48.4688
504, 176.6863, -48.5134
505, 176.6878, -48.4990
506, 176.6647, -48.5148
507, 176.6661, -48.5004
508, 176.6892, -48.4846
509, 176.6907, -48.4702
510, 176.6676, -48.4860
511, 176.6690, -48.4716
512, 176.6020, -48.9187
513, 176.6034, -48.9043
514, 176.5801, -48.9201
515, 176.5816, -48.9057
516, 176.6049, -48.8900
517, 176.6064, -48.8756
518, 176.5831, -48.8913
519, 176.5846, -48.8770
520, 176.5583, -48.9215
521, 176.5598, -48.9071
522, 176.5365, -48.9228
523, 176.5380, -48.9085
524, 176.5613, -48.8927
525, 176.5628, -48.8783
526, 176.5395, -48.8941
527, 176.5410, -48.8797
528, 176.6079, -48.8612
529, 176.6093, -48.8468
530, 176.5861, -48.8626
531, 176.5875, -48.8482
532, 176.6108, -48.8325
533, 176.6123, -48.8181
534, 176.5890, -48.8338
535, 176.5905, -48.8195
536, 176.5643, -48.8640
537, 176.5657, -48.8496
538, 176.5425, -48.8653
539, 176.5439, -48.8510
540, 176.5672, -48.8352
541, 176.5687, -48.8208
542, 176.5454, -48.8366
543, 176.5469, -48.8222
544, 176.5146, -48.9242
545, 176.5161, -48.9098
546, 176.4928, -48.9256
547, 176.4943, -48.9112
548, 176.5176, -48.8954
549, 176.5191, -48.8811
550, 176.4958, -48.8968
551, 176.4973, -48.8824
552, 176.4710, -48.9269
553, 176.4725, -48.9125
554, 176.4491, -48.9283
555, 176.4507, -48.9139
556, 176.4740, -48.8982
557, 176.4755, -48.8838
558, 176.4522, -48.8995
559, 176.4537, -48.8851
